question,expected,expect_decision,probe,expected_authority,correct_docs,trap_docs,note
How many days notice must a California landlord give to end a month-to-month residential tenancy when the tenant has lived there for more than one year?,60,answer,authority,HIGH,01-ca-civ-1946_1-statute|02-mak-v-berkeley-2015-appellate,04-ca-civ-1946-general-statute|05-nolo-month-to-month-blog|06-florida-83_57-statute,Controlling CA statute+appellate say 60; general statute/blog/other-state token-match on 30.
A tenant has rented a California apartment for three years on a month-to-month basis. How many days notice must the landlord give to end the tenancy?,60,answer,authority,HIGH,01-ca-civ-1946_1-statute|02-mak-v-berkeley-2015-appellate,04-ca-civ-1946-general-statute|05-nolo-month-to-month-blog|06-florida-83_57-statute,Heavy month-to-month/notice/landlord token overlap with the low-authority 30-day sources.
How much notice is required to terminate a California residential month-to-month tenancy if the tenant has resided there less than one year?,30,answer,,HIGH,01-ca-civ-1946_1-statute,,Grounded 30-day branch of the controlling statute.
Under California law after how many months of continuous occupancy does a landlord need just cause to terminate a tenancy?,12,answer,,HIGH,03-ca-civ-1946_2-justcause-statute,,Grounded in the Tenant Protection Act statute.
In what manner must a California termination-of-tenancy notice be served?,1162,answer,,HIGH,01-ca-civ-1946_1-statute|04-ca-civ-1946-general-statute,,Both statutes point to Code of Civil Procedure section 1162.
Can a California landlord charge a tenant a fee for delivering a termination notice?,charge,answer,,HIGH,01-ca-civ-1946_1-statute|04-ca-civ-1946-general-statute,,Statutes say a landlord shall not charge such a fee.
What minimum notice is required to terminate a month-to-month tenancy in Florida?,30,answer,,LOW,06-florida-83_57-statute,,Grounded: Florida statute is in the corpus; jurisdiction control.
Can a California tenant give notice to terminate after the owner has served a termination notice?,tenant,answer,,HIGH,01-ca-civ-1946_1-statute,,Grounded in section 1946.1 subdivision (e).
What is the maximum security deposit a California landlord may collect?,,abstain,,NONE,,,No security-deposit statute in the corpus; must refuse.
How much notice must a landlord give to terminate a fixed five-year commercial lease with a specified term in California?,,abstain,,NONE,,,Corpus covers periodic tenancies without a specified term only; must refuse.
What is the notice period to end a month-to-month tenancy in Texas?,,abstain,jurisdiction,NONE,,,Only California and Florida are in the corpus; Texas absent; must refuse.
