question,expected,expect_decision,probe,answer_language,correct_docs,note
"An employee on the Chennai office rolls wants extra festival leave. How many additional festival-leave days do they get in a leave year, over and above the 18 days of earned leave?",4,answer,ta_only,ta,05-ta-chennai-leave-annexure,"Tamil-only fact. The English handbook states 18 days and points to regional annexures without stating any figure."
"How many days in advance must a Chennai employee apply for the additional festival leave?",15,answer,ta_only,ta,05-ta-chennai-leave-annexure,"Tamil-only. Exact token 15 lives only in the Tamil annexure clause 2.9B."
"How much must a confirmed employee at the Chennai office pay to buy out one unserved month of the notice period?","45,000",answer,ta_only_exact_token,ta,06-ta-notice-buyout-annexure,"Tamil-only AND exact-token: INR 45,000 appears only in Tamil clause 7.2. English clause 3.4 explicitly declines to state an amount."
"What is the maximum number of months of notice period that a Chennai employee is allowed to buy out?",2,answer,ta_only,ta,06-ta-notice-buyout-annexure,"Tamil-only. Clause 7.3 cap."
"How many weeks of paid maternity leave does the Chennai office grant, and how much is the monthly creche reimbursement?",26,answer,ta_only_pdf,ta,07-ta-maternity-creche-annexure,"Tamil-only, and the source document is a PDF. Exercises PDF extraction of Tamil."
"Within how many days of receiving a termination letter may a Chennai employee appeal to the grievance committee?",21,answer,ta_only_pdf,ta,08-ta-termination-appeal-annexure,"Tamil-only PDF. Exact token 21 (clause 8.3). The English handbook has no appeal window at all."
"An employee at the Hyderabad office wants to carry unused earned leave into the next leave year. What is the maximum number of days they may carry forward?",5,answer,te_only,te,09-te-hyderabad-leave-annexure,"Telugu-only AND a trap: the English handbook says 10 days (clause 2.4). The Telugu annexure overrides it to 5 for Hyderabad. Answering 10 is a wrong-jurisdiction answer, not an abstention."
"How many additional festival-leave days does a Hyderabad employee receive for Bathukamma and Bonalu?",3,answer,te_only,te,09-te-hyderabad-leave-annexure,"Telugu-only. Distinguishes Hyderabad (3) from Chennai (4)."
"By how many days may probation be extended, and how many times may it be extended?",90,answer,te_only,te,10-te-probation-extension-annexure,"Telugu-only. English clause 4.3 explicitly declines to state the length or the count."
"What monthly stipend top-up is paid to an employee during an extended probation period?","12,500",answer,te_only_exact_token,te,10-te-probation-extension-annexure,"Telugu-only AND exact-token: INR 12,500 appears only in Telugu clause 4.4."
"For how many months after employment ends does the confidentiality obligation continue?",24,answer,te_only,te,11-te-confidentiality-annexure,"Telugu-only. English clause 9.2 states the obligation survives but explicitly does not state the period."
"What are the liquidated damages payable for each breach of the confidentiality annexure?","2,00,000",answer,te_only_exact_token,te,11-te-confidentiality-annexure,"Telugu-only AND exact-token: INR 2,00,000, clause 9.4."
"What allowance is paid for each night shift, and what is the maximum number of night shifts per calendar month?",850,answer,te_only,te,12-te-shift-allowance-annexure,"Telugu-only. The English handbook has no night-shift clause whatsoever."
"How many days written notice must a confirmed employee give when resigning?",60,answer,en,en,02-en-notice-period-policy,"Answerable from English alone (clause 3.1). Control question: proves the pipeline is healthy when the language matches."
"How many days of earned leave does a confirmed employee accrue per leave year?",18,answer,en,en,01-en-leave-policy,"Answerable from English alone (clause 2.1)."
"How long is the probation period from the date of joining?",180,answer,en,en,03-en-probation-policy,"Answerable from English alone (clause 4.1)."
"How many days of sick leave is an employee entitled to per leave year?",12,answer,en,en,01-en-leave-policy,"Answerable from English alone (clause 2.7). Shares the token 12 with an unrelated Telugu figure."
"May an employee store confidential information on a personal cloud account?",not,answer,en,en,04-en-confidentiality-policy,"Answerable from English alone (clause 9.7)."
"What is the employer's provident fund contribution rate?",,abstain,none,en,,"Nothing in the corpus mentions provident fund. Must abstain."
"How many days of gratuity is an employee entitled to per completed year of service?",,abstain,none,en,,"No gratuity clause in any of the twelve documents. Must abstain."
"What is the monthly work-from-home internet stipend?",,abstain,none,en,,"No remote-work stipend anywhere. Near-miss vocabulary with the night-shift allowance and the probation stipend, so it is a real trap."
"How much notice must an employee at the Bengaluru office give when resigning?",,abstain,none,en,,"Only Chennai and Hyderabad annexures exist. A Bengaluru-specific answer would be fabricated; the corpus cannot ground it."
